SubmissionDate,intronote,NA_start,NA_end,NA_today,deviceid,vasa_id,5,5n,6,6n,mod5,mod6,nte_vasa,csa_id,csa_notif,vasa_visit,event,id,certificate_1,certificate_2,certificate_3,confirm_id,instanceID,KEY
"Jun 8, 2020 10:04:04 AM",,"Jun 8, 2020 11:56:19 AM","Jun 8, 2020 12:02:31 PM","Jun 8, 2020",865542031159804,4485RY,Y,5,R,0,5,0,,2938ZN,"Jan 22, 2020","Feb 7, 2020",1,002BR2938ZN,"Feb 7, 2020","Feb 11, 2020","Feb 11, 2020",002BR2938ZN,YPY3HVA0KS6YR0BQSTFZ8QIMF,YPY3HVA0KS6YR0BQSTFZ8QIMF
"Jun 8, 2020 10:04:21 AM",,"Jun 8, 2020 11:48:36 AM","Jun 8, 2020 11:53:00 AM","Jun 8, 2020",865542031159804,4485RY,Y,5,R,0,5,0,,4020CL,"Jan 24, 2020","Feb 7, 2020",1,003BR4020CL,"Feb 7, 2020","Feb 11, 2020","Feb 11, 2020",003BR4020CL,7OX0BMJVP0SSTJTYE59NDYOYC,7OX0BMJVP0SSTJTYE59NDYOYC
"Jun 8, 2020 11:24:31 AM",,"Jun 8, 2020 12:07:51 PM","Jun 8, 2020 12:29:03 PM","Jun 8, 2020",865542031159804,4485RY,Y,5,R,0,5,0,,6260EB,"Jan 29, 2020","Jan 30, 2020",1,007BR6260EB,"Jan 30, 2020","Feb 7, 2020","Feb 7, 2020",007BR6260EB,63C0PH3ZL38JPRWEMO9CVL1XI,63C0PH3ZL38JPRWEMO9CVL1XI
"Jun 8, 2020 11:24:32 AM",,"Jun 8, 2020 12:29:08 PM","Jun 8, 2020 12:35:04 PM","Jun 8, 2020",865542031159804,4485RY,Y,5,R,0,5,0,,4020CL,"Jan 24, 2020","Jan 27, 2020",1,006BR4020CL,"Jan 27, 2020","Feb 7, 2020","Feb 7, 2020",006BR4020CL,P7CX73ZQ58BD1MB4T7HUGNPPO,P7CX73ZQ58BD1MB4T7HUGNPPO
"Jun 8, 2020 11:24:34 AM",,"Jun 8, 2020 12:35:11 PM","Jun 8, 2020 12:49:04 PM","Jun 8, 2020",865542031159804,4485RY,Y,5,R,0,5,0,,4020CL,"Jan 24, 2020","Jan 27, 2020",1,004BR4020CL,"Jan 27, 2020","Feb 7, 2020","Feb 7, 2020",004BR4020CL,JN53AKPV7KC78K21LNAOYYWXI,JN53AKPV7KC78K21LNAOYYWXI
"Jun 8, 2020 11:24:35 AM",,"Jun 8, 2020 12:57:58 PM","Jun 8, 2020 1:04:54 PM","Jun 8, 2020",865542031159804,4485RY,Y,5,R,0,5,0,,2938ZN,"Aug 25, 2019","Oct 29, 2019",1,001BR2938ZN,"Oct 29, 2019","Nov 4, 2019","Nov 4, 2019",001BR2938ZN,QJJZOOOXA2VM7C3WM81LYDZ0Y,QJJZOOOXA2VM7C3WM81LYDZ0Y
"Jun 8, 2020 11:24:35 AM",,"Jun 8, 2020 1:05:49 PM","Jun 8, 2020 1:11:27 PM","Jun 8, 2020",865542031159804,4485RY,Y,5,R,0,5,0,,6260EB,"Sep 24, 2019","Sep 27, 2019",1,004BR6260EB,"Sep 27, 2019","Oct 3, 2019","Oct 3, 2019",004BR6260EB,7NZUTXTY7XB012N6J8HANLMI5,7NZUTXTY7XB012N6J8HANLMI5
"Jun 8, 2020 11:24:37 AM",,"Jun 8, 2020 1:11:59 PM","Jun 8, 2020 1:15:03 PM","Jun 8, 2020",865542031159804,4485RY,Y,5,R,0,5,0,,6260EB,"Sep 24, 2019","Sep 27, 2019",1,004BR6260EB,"Sep 27, 2019","Nov 3, 2019","Nov 3, 2019",004BR6260EB,JZZTU8AG9IZTZIUZSO4DBP21J,JZZTU8AG9IZTZIUZSO4DBP21J
"Jun 8, 2020 11:24:37 AM",,"Jun 8, 2020 1:15:15 PM","Jun 8, 2020 1:17:38 PM","Jun 8, 2020",865542031159804,4485RY,Y,5,R,0,5,0,,4020CL,"Sep 24, 2019","Sep 27, 2019",1,004BR6260EB,"Sep 27, 2019","Nov 3, 2019","Nov 3, 2019",004BR6260EB,L26HSR0T0BYDC0CET7V2MTBXT,L26HSR0T0BYDC0CET7V2MTBXT
"Jun 8, 2020 11:24:52 AM",,"Jun 8, 2020 12:49:31 PM","Jun 8, 2020 12:57:54 PM","Jun 8, 2020",865542031159804,4485RY,Y,5,R,0,5,0,,6260EB,"Oct 25, 2019","Oct 30, 2019",1,003BR6260EB,"Oct 30, 2019","Nov 4, 2019","Nov 4, 2019",003BR6260EB,9CNC918KTLOIXAMV6Y5UGGYZT,9CNC918KTLOIXAMV6Y5UGGYZT
